U/M,YearMonth,Year,Month,Qty,Sales Price,Field,Fertilizer
gal,2023-02,2023,2,12.5,110.7396,KF,SILICA-BLUE GOLD (SILICA-BLUE GOLD)
gal,2023-02,2023,2,12.75,14.7972,MCA,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-02,2023,2,12.75,29.07,MCA,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-02,2023,2,13.5,110.7396,TERK,SILICA-BLUE GOLD (SILICA-BLUE GOLD)
gal,2023-02,2023,2,15,16.8264,GL-RANCH,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-02,2023,2,15,30.609,GL-RANCH,CopBorMoly (INTEGRITY Z 5-0-0)
gal,2023-02,2023,2,15.625,121.866,KF,BASE Blue Gold (BASE Blue Gold)
gal,2023-02,2023,2,16.5,14.8,BI-1,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-02,2023,2,16.5,16.8264,BYRD,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-02,2023,2,16.5,16.8264,TOP,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-02,2023,2,16.5,29.07,BI-1,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-02,2023,2,17.19531,100.8,DAF,SUPER CARB (SUPER CARB Blue Gold)
gal,2023-02,2023,2,19,121.866,TERK,BASE Blue Gold (BASE Blue Gold)
gal,2023-02,2023,2,19.5,16.8264,BRU-2A,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-02,2023,2,21,16.8264,BRS-250,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-02,2023,2,22.5,16.8264,C & H 3,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-02,2023,2,22.5,16.8264,GOLF,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-02,2023,2,23.07813,100.8,FI,SUPER CARB (SUPER CARB Blue Gold)
gal,2023-02,2023,2,24,14.7972,DNW,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-02,2023,2,24,16.8264,505 SOUTH,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-02,2023,2,24,29.07,DNW,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-02,2023,2,25.5,16.8264,MCA,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-02,2023,2,31.25,16.8264,KF,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-02,2023,2,31.25,29.07,KF,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-02,2023,2,33,16.83,BI-1,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-02,2023,2,48,16.8264,DNW,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-02,2023,2,48,100.8,FI,SUPER CARB (SUPER CARB Blue Gold)
gal,2023-02,2023,2,50,16.8264,TERK,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-02,2023,2,50,29.07,TERK,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,-1,0,FI,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2023-03,2023,3,-1,0,FI,SILICA-BLUE GOLD (SILICA-BLUE GOLD)
gal,2023-03,2023,3,-1,0,GL-RANCH,BASE Blue Gold (BASE Blue Gold)
gal,2023-03,2023,3,-1,0,GL-RANCH,SILICA-BLUE GOLD (SILICA-BLUE GOLD)
gal,2023-03,2023,3,-1,0,JBW,BASE Blue Gold (BASE Blue Gold)
gal,2023-03,2023,3,-1,0,JBW,SILICA-BLUE GOLD (SILICA-BLUE GOLD)
gal,2023-03,2023,3,-1,0,KF,BASE Blue Gold (BASE Blue Gold)
gal,2023-03,2023,3,-1,0,KF,SILICA-BLUE GOLD (SILICA-BLUE GOLD)
gal,2023-03,2023,3,-1,0,TERK,BASE Blue Gold (BASE Blue Gold)
gal,2023-03,2023,3,-1,0,TERK,SILICA-BLUE GOLD (SILICA-BLUE GOLD)
gal,2023-03,2023,3,0.75,14.8326,MATT,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,0.75,29.07,MATT,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,0.75,124.50067,JBW,BASE Blue Gold (BASE Blue Gold)
gal,2023-03,2023,3,1,1.65,JBW,BASE Blue Gold (BASE Blue Gold)
gal,2023-03,2023,3,1,3.5,JBW,SILICA-BLUE GOLD (SILICA-BLUE GOLD)
gal,2023-03,2023,3,1,19.76,GL-RANCH,BASE Blue Gold (BASE Blue Gold)
gal,2023-03,2023,3,1,27.96,FI,SILICA-BLUE GOLD (SILICA-BLUE GOLD)
gal,2023-03,2023,3,1,36.38,FI,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2023-03,2023,3,1,41.16,KF,BASE Blue Gold (BASE Blue Gold)
gal,2023-03,2023,3,1,41.94,GL-RANCH,SILICA-BLUE GOLD (SILICA-BLUE GOLD)
gal,2023-03,2023,3,1,50.5,TERK,BASE Blue Gold (BASE Blue Gold)
gal,2023-03,2023,3,1,87.38,KF,SILICA-BLUE GOLD (SILICA-BLUE GOLD)
gal,2023-03,2023,3,1,94.37,TERK,SILICA-BLUE GOLD (SILICA-BLUE GOLD)
gal,2023-03,2023,3,1.125,124.50067,GL-RANCH,BASE Blue Gold (BASE Blue Gold)
gal,2023-03,2023,3,1.5,14.83,C & H 2,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,1.5,14.83,JK,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,1.5,14.8326,GOOD,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,1.5,14.8326,MAZZ-HOME,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,1.5,16.8264,MATT,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,1.5,29.07,C & H 2,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,1.5,29.07,GOOD,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,1.5,29.07,JBW,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,1.5,29.07,JK,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,1.5,29.07,MAZZ-HOME,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,2.04688,14.8326,STACY,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,2.19531,14.8326,SP50,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,2.25,14.8326,DAF 2,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,2.25,14.8326,GJ,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,2.25,14.8326,WFP - DAWLEY,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,2.25,29.07,DAF 2,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,2.25,29.07,GJ,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,2.25,29.07,GL-RANCH,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,2.25,29.07,STACY,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,2.25,29.07,WFP - DAWLEY,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,2.61719,29.07,SP50,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,3,14.83,RCH,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,3,16.8264,C & H 2,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,3,16.8264,GOOD,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,3,16.8264,MAZZ-HOME,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,3,16.83,C & H 2,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,3,16.83,JK,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,3,29.07,RCH,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,3.4375,16.8264,DAF 2,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,4.25,16.8264,STACY,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,4.5,14.8326,REYES,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,4.5,16.8264,DAF 2,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,4.5,16.8264,GJ,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,4.5,16.8264,JBW,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,4.5,16.8264,WFP - DAWLEY,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,4.5,29.07,REYES,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,6,14.8326,505 NORTH,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,6,14.8326,GOLFP,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,6,16.8264,RCH,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,6,16.83,RCH,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,6,29.07,505 NORTH,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,6,29.07,GOLFP,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,6.01563,16.8264,REYES,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,6.75,16.8264,GL-RANCH,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,6.875,16.8264,JK,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,7.5,14.8326,DAF,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,7.5,29.07,DAF,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,7.875,124.50067,GL-RANCH,BASE Blue Gold (BASE Blue Gold)
gal,2023-03,2023,3,8.25,14.8326,BYRD,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,8.25,14.8326,TOP,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,8.25,29.07,BYRD,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,8.25,29.07,TOP,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,8.3,29.07,MCA,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,8.59375,16.8264,SP50,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,9,16.8264,REYES,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,9.75,14.8326,BRU-2A,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,9.75,29.07,BRU-2A,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,10,124.50067,TERK,BASE Blue Gold (BASE Blue Gold)
gal,2023-03,2023,3,10.5,14.8326,BRS-250,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,10.5,29.07,BRS-250,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,11.17188,16.8264,BYRD,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,11.17188,16.8264,DAF,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,11.17188,16.8264,TOP,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,11.25,14.83,GOLF,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,11.25,14.8326,C & H 3,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,11.25,29.07,C & H 3,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,11.25,29.07,GOLF,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,12,14.8326,505 SOUTH,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,12,16.8264,505 NORTH,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,12,16.8264,GOLFP,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,12,29.07,505 SOUTH,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,12.25781,14.8326,MCA,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,12.625,29.07,DNW,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,15,16.8264,DAF,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,15,124.50067,KF,BASE Blue Gold (BASE Blue Gold)
gal,2023-03,2023,3,15.75,29.07,GL-RANCH,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,16.32813,16.8264,C & H 3,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,16.5,14.8326,BI-1,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,16.5,16.8264,BYRD,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,16.5,16.8264,TOP,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,16.5,29.07,BI-1,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,17.53125,16.8264,BRS-250,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,19.5,16.8264,BRU-2A,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,21,16.8264,BRS-250,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,22.5,16.8264,C & H 3,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,22.5,16.8264,GOLF,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,22.5,16.83,GOLF,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,22.71875,14.8326,DNW,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,22.80469,14.8326,FI,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,23.02344,29.07,TERK,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,24,16.8264,505 SOUTH,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,24.0625,16.8264,505 SOUTH,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,26.85938,29.07,FI,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,27,16.8264,MCA,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,30,29.07,KF,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,33,16.8264,BI-1,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,34.375,16.8264,DNW,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,47.25,16.8264,GL-RANCH,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,48,16.8264,DNW,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,50,16.8264,DNW,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,67.5,14.8326,FI,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2023-03,2023,3,67.5,29.07,FI,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-03,2023,3,77,16.8264,TERK,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,89.375,16.8264,FI,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,90,16.8264,KF,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-03,2023,3,135,16.8264,FI,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-04,2023,4,0.375,189.696,JBW,COBALT Blue Gold (COBALT Blue Gold)
gal,2023-04,2023,4,0.5,124.50067,JBW,BASE Blue Gold (BASE Blue Gold)
gal,2023-04,2023,4,0.6015,27.36,MATT,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-04,2023,4,0.75,113.1336,TD,SILICA-BLUE GOLD (SILICA-BLUE GOLD)
gal,2023-04,2023,4,0.75,117.648,TD,BASE Blue Gold (BASE Blue Gold)
gal,2023-04,2023,4,1.2031,27.36,DAF 2,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-04,2023,4,1.2031,29.355,C & H 2,Integrity Micro Bloom + Boron 5 (Integrity Micro Bloom + Boron 5)
gal,2023-04,2023,4,1.25,29.355,JBW,Integrity Micro Bloom + Boron 5 (Integrity Micro Bloom + Boron 5)
gal,2023-04,2023,4,1.5,17.6814,MATT,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-04,2023,4,1.60156,29.355,JK,Integrity Micro Bloom + Boron 5 (Integrity Micro Bloom + Boron 5)
gal,2023-04,2023,4,1.78125,27.36,STACY,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-04,2023,4,1.8046,29.355,GJ,Integrity Micro Bloom + Boron 5 (Integrity Micro Bloom + Boron 5)
gal,2023-04,2023,4,1.8046,29.355,WFP - DAWLEY,Integrity Micro Bloom + Boron 5 (Integrity Micro Bloom + Boron 5)
gal,2023-04,2023,4,2.4062,29.355,RCH,Integrity Micro Bloom + Boron 5 (Integrity Micro Bloom + Boron 5)
gal,2023-04,2023,4,2.5,17.6814,JBW,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-04,2023,4,2.5,117.73326,GL-RANCH,SILICA-BLUE GOLD (SILICA-BLUE GOLD)
gal,2023-04,2023,4,2.5,124.50067,GL-RANCH,BASE Blue Gold (BASE Blue Gold)
gal,2023-04,2023,4,2.51563,11.4,MAZZ-HOME,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2023-04,2023,4,2.84375,25.422,MAZZ-HOME,NUTRAMIX PK 0-28-25 (NUTRAMIX PK 0-28-25)
gal,2023-04,2023,4,2.88281,11.4,MAZZ-HOME,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2023-04,2023,4,2.88281,21.09,MAZZ-HOME,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2023-04,2023,4,3,11.4,MATT,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2023-04,2023,4,3,17.6814,C & H 2,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-04,2023,4,3,17.6814,DAF 2,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-04,2023,4,3,21.09,MATT,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2023-04,2023,4,3,25.422,MATT,NUTRAMIX PK 0-28-25 (NUTRAMIX PK 0-28-25)
gal,2023-04,2023,4,3,29.5944,TD,TEP-WORKS ORGANIC (TEP-WORKS ORGANIC)
gal,2023-04,2023,4,3.10156,124.50067,KF,BASE Blue Gold (BASE Blue Gold)
gal,2023-04,2023,4,3.1875,25.422,MAZZ-HOME,NUTRAMIX PK 0-28-25 (NUTRAMIX PK 0-28-25)
gal,2023-04,2023,4,3.20313,21.09,MAZZ-HOME,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2023-04,2023,4,3.5,124.50067,GL-RANCH,BASE Blue Gold (BASE Blue Gold)
gal,2023-04,2023,4,3.59375,11.4,C & H 2,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2023-04,2023,4,3.59375,11.4,DAF 2,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2023-04,2023,4,3.66406,27.36,REYES,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-04,2023,4,3.98438,17.6814,STACY,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-04,2023,4,4,12.5058,JBW,FUSION KEEL (FUSION KEEL)
gal,2023-04,2023,4,4,17.6814,JK,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-04,2023,4,4.09375,25.422,DAF 2,NUTRAMIX PK 0-28-25 (NUTRAMIX PK 0-28-25)
gal,2023-04,2023,4,4.09375,25.422,JK,NUTRAMIX PK 0-28-25 (NUTRAMIX PK 0-28-25)
gal,2023-04,2023,4,4.11719,11.4,DAF 2,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2023-04,2023,4,4.11719,11.4,JK,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2023-04,2023,4,4.11719,21.09,DAF 2,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2023-04,2023,4,4.11719,21.09,JK,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2023-04,2023,4,4.25,11.4,STACY,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2023-04,2023,4,4.5,17.68,GJ,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-04,2023,4,4.5,17.6814,WFP - DAWLEY,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-04,2023,4,4.54688,25.422,C & H 2,NUTRAMIX PK 0-28-25 (NUTRAMIX PK 0-28-25)
gal,2023-04,2023,4,4.54688,25.422,DAF 2,NUTRAMIX PK 0-28-25 (NUTRAMIX PK 0-28-25)
gal,2023-04,2023,4,4.57031,21.09,C & H 2,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2023-04,2023,4,4.57031,21.09,DAF 2,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2023-04,2023,4,4.64063,124.50067,TERK,BASE Blue Gold (BASE Blue Gold)
gal,2023-04,2023,4,4.6875,189.696,GOLFP,COBALT Blue Gold (COBALT Blue Gold)
gal,2023-04,2023,4,5.23438,27.36,SP50,CoBorMoly (INTEGRITY Z 5-0-0)
gal,2023-04,2023,4,5.414,29.355,DAF,Integrity Micro Bloom + Boron 5 (Integrity Micro Bloom + Boron 5)
gal,2023-04,2023,4,6,11.4,C & H 2,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2023-04,2023,4,6,11.4,DAF 2,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2023-04,2023,4,6,11.4,GOLF,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2023-04,2023,4,6,17.6814,RCH,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-04,2023,4,6.10938,11.4,STACY,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2023-04,2023,4,6.10938,11.4,WFP - DAWLEY,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2023-04,2023,4,6.46875,11.4,GJ,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2023-04,2023,4,6.46875,25.422,GJ,NUTRAMIX PK 0-28-25 (NUTRAMIX PK 0-28-25)
gal,2023-04,2023,4,6.80469,29.355,BYRD,Integrity Micro Bloom + Boron 5 (Integrity Micro Bloom + Boron 5)
gal,2023-04,2023,4,6.80469,29.355,TOP,Integrity Micro Bloom + Boron 5 (Integrity Micro Bloom + Boron 5)
gal,2023-04,2023,4,6.84375,189.696,KF,COBALT Blue Gold (COBALT Blue Gold)
gal,2023-04,2023,4,7.5,11.4,GOOD,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2023-04,2023,4,7.5,21.09,GOOD,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2023-04,2023,4,7.5,25.422,GOOD,NUTRAMIX PK 0-28-25 (NUTRAMIX PK 0-28-25)
gal,2023-04,2023,4,7.58594,29.355,KF,Integrity Micro Bloom + Boron 5 (Integrity Micro Bloom + Boron 5)
gal,2023-04,2023,4,7.74219,25.422,STACY,NUTRAMIX PK 0-28-25 (NUTRAMIX PK 0-28-25)
gal,2023-04,2023,4,7.74219,25.422,WFP - DAWLEY,NUTRAMIX PK 0-28-25 (NUTRAMIX PK 0-28-25)
gal,2023-04,2023,4,7.77344,21.09,STACY,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2023-04,2023,4,7.77344,21.09,WFP - DAWLEY,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2023-04,2023,4,7.8203,29.355,BRU-2A,Integrity Micro Bloom + Boron 5 (Integrity Micro Bloom + Boron 5)
gal,2023-04,2023,4,8.20313,17.6814,REYES,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2023-04,2023,4,8.22656,21.09,GJ,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2023-04,2023,4,8.4218,29.355,GOLF,Integrity Micro Bloom + Boron 5 (Integrity Micro Bloom + Boron 5)
gal,2023-04,2023,4,8.75,11.4,REYES,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2023-04,2023,4,8.75,29.355,GL-RANCH,Integrity Micro Bloom + Boron 5 (Integrity Micro Bloom + Boron 5)
gal,2023-04,2023,4,8.98438,11.4,SP50,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2023-04,2023,4,9,11.4,GJ,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2023-04,2023,4,9,11.4,WFP - DAWLEY,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2023-04,2023,4,9,21.09,JK,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2023-04,2023,4,9.42188,29.355,C & H 3,Integrity Micro Bloom + Boron 5 (Integrity Micro Bloom + Boron 5)
